거래일자,저장형 한지 1.0 kg 상자 /특,저장형 한지 1.0 kg 상자 /상,저장형 한지 1.0 kg 상자 /중,저장형 한지 1.0 kg 상자 /하,저장형 한지 반입량,저장형 난지 1.0 kg 상자 /특,저장형 난지 1.0 kg 상자 /상,저장형 난지 1.0 kg 상자 /중,저장형 난지 반입량,햇마늘 한지 1.0 kg 상자 /특,햇마늘 한지 1.0 kg 상자 /하,햇마늘 한지 반입량,햇마늘 난지 1.0 kg 상자 /특,햇마늘 난지 1.0 kg 상자 /상,햇마늘 난지 1.0 kg 상자 /하,햇마늘 난지 반입량,육쪽마늘 1.0 kg 상자 /특,육쪽마늘 1.0 kg 상자 /상,육쪽마늘 1.0 kg 상자 /중,육쪽마늘 반입량
,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년,당해년
2011-01,4800,4200,0,0,15946,0,2692,0,72399,0,0,692,0,0,0,1376,0,0,0,388
2011-02,0,0,0,0,37586,0,0,0,74785,0,0,832,0,0,0,2047,0,0,0,127
2011-03,4375,0,0,0,47354,0,2662,0,71940,0,0,1451,0,2820,0,9384,0,0,0,205
2011-04,0,0,0,0,43815,0,2665,0,49300,0,0,543,0,2784,0,7267,0,0,0,170
2011-05,0,0,0,0,93446,0,0,0,39143,0,0,16508,0,1853,0,506346,0,0,0,20
2011-06,2800,0,0,0,477452,0,0,0,68052,0,0,201847,0,0,0,1747320,0,0,0,127729
2011-07,6500,3500,0,0,73720,0,0,0,15960,0,0,133191,0,0,0,229046,0,0,0,91949
2011-08,4300,3000,0,0,32645,0,0,0,33332,0,0,31824,0,0,0,77547,0,0,0,9926
2011-09,0,0,0,0,21154,0,2550,0,84420,3500,0,16601,0,0,1500,50970,0,0,0,1540
2011-10,3000,0,0,0,75388,0,1603,0,110380,0,0,3307,0,0,0,7331,0,0,0,12961
2011-11,0,0,0,0,128030,0,0,0,156739,0,0,1973,0,1975,0,9289,0,0,0,20820
2011-12,0,0,0,0,208533,0,0,0,193850,0,0,4489,4600,0,0,1875,0,0,0,2283
2012-01,0,0,0,0,322765,0,0,0,39600,0,0,2405,0,0,0,712,0,0,0,201
2012-02,0,0,0,0,319196,0,0,0,428900,0,0,1119,0,4620,0,2082,0,0,0,42
2012-03,0,0,0,0,57723,0,0,0,47570,0,0,2717,0,2805,0,18828,0,0,0,191
2012-04,3200,0,0,0,143559,0,2413,0,47800,0,0,782,0,2185,0,6052,0,0,0,0
2012-05,1500,0,0,0,145407,0,2503,0,77224,0,0,21792,0,2396,0,779008,0,0,0,600
2012-06,0,0,0,0,552261,0,0,0,453140,0,0,218739,0,0,0,1398654,0,0,0,301710
2012-07,0,0,0,0,58993,600,0,0,281118,0,0,59520,0,0,0,72491,0,0,0,84958
2012-08,2202,0,0,0,41087,0,2336,0,61126,0,0,37694,0,0,0,20550,0,0,0,5959
2012-09,4000,3850,4000,3000,84632,0,0,3767,63263,0,0,23339,0,0,0,37514,0,0,0,20206
2012-10,0,0,0,0,60323,0,0,0,55064,0,0,1243,0,0,0,3735,0,0,0,13467
2012-11,0,0,0,0,515607,0,3487,0,110260,0,0,1905,0,3859,0,152965,0,0,0,27974
2012-12,0,0,0,0,62624,0,3452,0,176079,0,0,416,0,0,0,1013,0,0,0,2245
2013-01,5000,0,0,0,96907,0,0,0,69603,0,0,481,0,0,0,16,0,0,0,271
2013-02,4200,0,0,0,11410,0,0,0,107700,0,0,743,0,0,0,206,0,0,0,84
2013-03,0,0,0,0,44135,3600,0,0,54533,0,0,1779,0,0,0,170,800,0,0,1074
2013-04,0,0,0,0,25982,0,3553,0,149965,0,0,986,0,0,0,1250,0,0,0,408
2013-05,0,0,0,0,182120,0,0,2300,190288,0,0,41464,0,0,0,486839,0,0,0,15
2013-06,0,0,0,0,539814,0,0,3660,616272,0,0,143282,0,3000,0,1292964,0,0,0,141217
2013-07,0,0,0,0,130170,0,0,0,347884,3300,0,133075,0,0,0,240049,0,0,0,196553
2013-08,0,0,0,0,38355,0,0,600,159441,0,0,65035,0,0,0,61314,0,0,0,40005
2013-09,0,0,0,0,46235,0,0,1460,89682,0,0,4992,0,0,0,10775,0,0,0,24973
2013-10,900,700,0,0,67421,0,0,0,81542,0,0,7365,0,0,0,13777,0,0,0,12528
2013-11,0,2600,0,0,63508,0,0,0,97103,0,0,22147,0,0,0,9111,0,0,0,10705
2013-12,0,0,0,0,299993,0,0,0,111997,0,0,6317,0,0,0,12730,0,0,0,5815
2014-01,0,0,0,0,26709,0,0,0,59026,0,0,1087,0,0,0,75,0,0,0,4155
2014-02,800,0,0,0,13440,0,0,0,58569,0,0,4183,0,2869,0,694,0,0,0,3523
2014-03,0,0,0,0,18232,0,0,0,56254,0,0,3340,0,0,0,30,0,0,0,794
2014-04,0,0,0,0,26152,0,0,0,55120,0,0,2312,0,0,0,23360,0,0,0,58
2014-05,0,0,0,0,368666,0,0,0,400226,0,0,133281,0,0,0,720656,0,0,0,17297
2014-06,0,0,0,0,232736,0,0,2810,683175,0,0,31826,0,0,0,473848,0,0,0,254611
2014-07,0,0,0,0,98464,0,0,0,105102,0,0,4184,0,0,0,197124,0,0,0,110482
2014-08,0,0,0,0,744209,0,0,0,141303,0,0,1797,0,0,0,98775,0,0,0,24460
2014-09,0,0,0,0,574546,0,0,0,216144,0,0,6979,0,5500,0,16172,0,0,0,15322
2014-10,0,0,0,0,809179,0,0,0,168125,0,0,12533,0,0,0,9996,0,0,0,17158
2014-11,0,0,0,0,122534,0,0,0,168139,0,0,4558,0,0,0,22254,0,0,0,10771
2014-12,1900,0,0,0,260054,0,0,0,504403,0,0,1291,0,0,0,11018,0,0,2500,1280
2015-01,0,0,0,0,10066,0,0,0,156080,0,0,200,0,5500,0,1656,0,0,0,5371
2015-02,0,0,0,0,10005,0,0,0,285500,0,0,171,0,0,0,141178,0,0,0,119
2015-03,0,0,0,0,20764,0,0,0,298740,0,0,817,0,0,0,3514,0,0,0,463
2015-04,0,0,0,0,130872,0,0,0,346700,0,0,1840,1300,0,0,9261,0,0,0,28
2015-05,0,0,0,0,181141,0,0,0,151064,0,0,46073,0,0,0,701685,0,0,0,14232
2015-06,0,0,0,0,171536,0,0,0,452687,0,0,159405,0,0,0,1075018,0,0,0,514464
2015-07,0,0,0,0,741882,0,0,0,332441,3200,0,91152,0,0,0,80713,0,0,0,126792
2015-08,0,0,0,0,21995,0,0,0,18755,0,0,5912,0,0,0,4384,0,0,0,13709
2015-09,0,0,0,0,15872,0,0,6000,18393,0,0,2197,0,0,0,4206,0,0,0,17854
2015-10,0,0,0,0,55156,0,0,6300,75645,0,0,3822,0,7800,0,5024,0,0,0,14124
2015-11,4383,0,0,0,356875,0,0,0,40097,0,0,2232,0,0,0,2938,0,0,0,26430
2015-12,0,0,0,0,62267,0,0,0,298879,0,0,2885,0,0,0,3432,0,0,0,958
2016-01,0,0,0,0,144082,0,4107,0,14828,0,0,367,0,0,0,4426,0,0,0,2216
2016-02,0,0,0,0,145729,0,4100,0,2000,0,0,496,0,0,0,212,0,0,0,338
2016-03,0,0,0,0,27150,0,4122,0,10000,0,8870,1232,0,0,0,31,0,0,0,223
2016-04,0,0,0,0,18259,0,3966,0,30010,0,0,508,0,0,0,5917,6000,0,0,32
2016-05,0,0,0,0,346314,0,3633,0,40015,0,0,18286,0,3850,0,516347,0,0,0,22436
2016-06,0,0,0,0,122952,0,0,0,632,0,0,91185,0,0,0,1198231,0,0,0,497494
2016-07,0,0,0,0,9946,0,0,0,36730,0,0,27641,0,0,0,84226,0,0,0,223918
2016-08,0,0,0,0,15708,0,0,0,3004,0,0,17443,0,0,0,8010,0,0,0,36212
2016-09,0,0,0,0,14594,0,0,0,42250,0,0,3789,0,0,0,7002,0,0,0,21203
2016-10,0,0,0,0,27550,0,0,0,43090,0,0,2453,0,0,0,3797,0,0,0,33820
2016-11,0,0,0,0,27048,0,0,0,7546,0,0,2149,0,0,0,10099,8000,0,0,30045
2016-12,0,0,0,0,7103,0,4200,0,65640,0,0,2036,0,0,0,747,0,0,0,1635
2017-01,0,0,0,0,33685,0,0,0,39030,0,0,1985,0,0,0,1384,0,0,0,310
2017-02,0,0,0,0,214700,0,4117,0,60352,0,0,1876,6500,0,0,136,0,0,0,1042
2017-03,0,0,0,0,254278,0,3861,0,14700,0,0,2375,0,0,0,18,0,0,0,14987
2017-04,0,0,0,0,36808,0,0,0,2000,0,0,1075,0,0,0,582,0,0,0,2780
2017-05,0,0,0,0,331978,0,3001,0,163429,0,0,208415,0,1500,0,849765,0,0,0,62684
2017-06,0,0,0,0,182288,0,0,0,38726,0,0,213657,0,0,0,736075,0,0,0,395334
2017-07,0,0,0,0,13410,0,0,0,4510,0,0,50386,0,3500,0,37492,0,0,0,72290
2017-08,6638,0,0,0,4518,0,0,0,215,0,0,23553,0,0,0,10583,0,0,0,26064
2017-09,0,0,0,0,7497,0,2316,0,1835,0,0,12538,0,0,0,8529,0,0,0,21605
2017-10,0,0,0,0,9978,0,2301,0,5037,0,0,2261,0,0,0,5439,0,0,0,16855
2017-11,0,0,0,0,44264,0,0,0,268077,0,0,3225,0,0,0,14691,0,0,0,41464
2017-12,0,0,0,0,61740,0,0,0,131625,0,0,1319,0,0,0,16046,0,0,0,5966
2018-01,0,0,0,0,98668,0,0,0,3910,0,0,1217,0,0,0,2259,0,0,0,345
2018-02,0,2100,0,0,56937,0,0,0,78880,0,0,297,0,0,0,1047,0,0,0,419
2018-03,0,0,0,0,92184,0,0,0,22276,0,0,3740,0,0,0,161,0,0,0,293
2018-04,0,0,0,0,75889,0,0,0,103585,0,0,23198,0,0,0,4362,0,0,0,34
2018-05,0,0,0,0,332937,0,0,0,221128,0,0,634986,0,0,0,550985,0,0,0,769414
2018-06,0,0,0,0,402448,0,0,0,48994,0,0,1123501,0,0,0,816045,0,0,0,766613
2018-07,0,0,0,0,105693,0,0,0,1240,0,0,125338,0,0,0,113852,0,0,0,181054
2018-08,0,0,0,0,87432,0,0,0,27052,0,0,31957,0,0,0,17702,0,0,0,39097
2018-09,0,0,0,0,56430,0,0,0,30360,0,0,101170,0,0,0,9552,0,0,0,21102
2018-10,0,0,0,0,99617,0,0,0,41930,0,0,146812,0,0,0,14662,0,0,0,32899
2018-11,0,0,0,0,90638,0,0,0,40279,0,0,109943,0,0,0,3718,0,0,0,18161
2018-12,0,0,0,0,45162,0,0,0,27576,0,0,135254,0,0,0,4963,0,0,0,527
2019-01,0,0,0,0,114887,0,0,0,32090,0,0,66128,0,0,0,125,0,0,0,4030
2019-02,0,0,0,0,77932,0,0,0,20100,0,0,170652,0,0,0,250,0,0,0,2068
2019-03,0,0,0,0,122124,0,0,0,57413,0,0,139611,0,0,0,896,0,0,0,3692
2019-04,0,0,0,0,108556,0,0,0,26140,0,0,108528,0,0,0,10242,0,0,0,0
2019-05,0,0,0,0,534971,0,0,0,142897,0,0,1057311,0,0,0,1202319,0,0,0,477652
2019-06,0,0,0,0,516701,0,0,0,41579,0,0,1104121,0,0,0,1202819,0,0,0,254443
2019-07,0,0,0,0,134753,0,0,0,272,0,0,346965,0,0,0,256752,0,0,0,234835
2019-08,0,0,0,0,93111,0,0,0,5074,0,0,110614,0,0,0,90554,0,0,0,16860
2019-09,0,0,0,0,79923,0,0,0,10552,0,0,80572,0,0,0,32157,0,0,0,42872
2019-10,0,0,0,0,132457,0,0,0,47961,0,0,129605,0,0,0,13099,0,7000,0,25390
2019-11,0,0,0,0,147365,0,0,0,142706,0,0,124411,0,0,0,22515,0,0,0,18201
2019-12,0,0,0,0,108437,0,0,0,5334,0,0,38065,0,0,0,19838,0,0,0,5893
2020-01,0,0,0,0,57472,0,0,0,6002,0,0,57807,0,0,0,2472,0,0,0,573
2020-02,0,0,0,0,163469,0,0,0,3220,0,0,57365,0,0,0,5332,0,0,0,4722
2020-03,0,0,0,0,147317,0,0,0,5520,2000,0,46646,0,0,0,2079,0,0,0,8955
2020-04,0,0,0,0,158499,0,0,0,33492,0,0,72680,0,0,0,37487,0,0,0,4138
2020-05,0,0,0,0,609372,0,0,0,205973,0,0,1035853,0,0,0,1230882,0,0,0,666535
2020-06,0,0,2700,0,748129,0,0,0,25496,0,0,1169057,0,0,0,923299,0,0,0,400299
2020-07,0,10000,0,0,180907,0,0,0,813,12000,0,37518,0,0,0,35880,0,0,0,208255
2020-08,0,0,0,0,73945,0,0,0,2710,0,0,30436,0,0,0,7656,0,0,0,36174
2020-09,0,0,0,0,119859,0,0,0,2696,0,0,39505,0,0,0,5664,0,0,0,38528
2020-10,0,0,0,0,107715,0,0,0,1780,0,0,80952,0,0,0,4341,0,0,0,16181
2020-11,0,2000,0,0,126799,0,0,0,1114,0,0,70907,0,0,0,6822,21000,0,0,40117
2020-12,0,0,0,0,63974,0,0,0,1205,0,0,71747,0,0,0,4289,0,0,0,2649
2021-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
