거래일자,봄무 1.0 kg 상자 /특,봄무 1.0 kg 상자 /중,봄무 반입량,여름무 1.0 kg 상자 /특,여름무 1.0 kg 상자 /상,여름무 반입량,고냉지무 1.0 kg 상자 /특,고냉지무 1.0 kg 상자 /중,고냉지무 반입량,가을무 1.0 kg 상자 /특,가을무 1.0 kg 상자 /상,가을무 반입량,저장무 1.0 kg 상자 /특,저장무 1.0 kg 상자 /중,저장무 반입량
2011-01,0,0,246645,0,2600,257701,0,0,0,0,0,399233,0,0,11080416
2011-02,0,0,147715,0,0,162369,0,0,0,0,0,173210,0,0,6774404
2011-03,0,0,171730,0,0,270659,0,0,0,1378,1148,109392,0,0,10401364
2011-04,0,0,194320,0,2400,221769,0,0,0,3008,1219,102270,0,0,11305336
2011-05,3132,1342,9840608,0,2050,461641,0,0,0,1562,1108,46234,0,0,11826962
2011-06,1316,1224,22575751,0,2250,979758,0,0,0,1500,1014,16292,0,0,2833839
2011-07,1578,1473,1621136,0,0,7910615,0,0,9171626,0,,25812,0,0,421354
2011-08,3206,2913,496775,0,2820,14971618,3547,3201,7437872,0,,24334,0,0,683936
2011-09,0,0,493845,0,3900,21962226,2896,2546,8233452,0,,314821,0,0,183800
2011-10,0,0,478595,1536,3188,3188728,1529,1413,4544759,0,,17089495,0,0,169580
2011-11,0,0,347274,0,0,220652,1181,1029,496318,1077,903,9171696,0,0,161177
2011-12,0,0,166748,0,0,201392,0,0,10000,1130,767,6241275,0,0,4031365
2012-01,0,0,144249,0,2700,114783,0,0,0,1099,786,321980,1083,744,11474434
2012-02,0,0,174673,0,5120,162031,0,0,160,2139,,73093,1220,944,11066495
2012-03,0,0,161866,0,0,176664,0,0,370,0,,54393,1373,1047,11262875
2012-04,0,0,160263,0,4094,213314,0,0,0,2127,,27284,1257,985,10241166
2012-05,1563,1273,2605717,0,2800,202223,0,0,0,2173,,1,1509,1165,14160768
2012-06,1587,1147,15682792,0,0,379629,0,0,97580,2127,,5277,1522,1045,5670974
2012-07,2048,1754,2129245,0,0,15157785,0,0,1624054,2129,,503,0,0,587579
2012-08,1869,1646,417051,0,0,8206284,1825,1640,14772209,2136,,48583,0,0,482714
2012-09,0,0,475839,0,2300,8006124,1948,1684,15591585,2130,,866663,0,0,316990
2012-10,0,0,343054,0,0,874122,2375,1968,4584813,2132,,13136494,0,0,261128
2012-11,0,0,374167,0,3000,204528,2106,1589,411921,1939,1354,9986556,0,0,140578
2012-12,0,0,224846,0,0,199193,0,0,11170,2136,1556,5192677,1733,1440,6525736
2013-01,0,0,182256,0,3333,214557,0,0,0,2010,1567,164407,2051,1550,13223991
2013-02,0,0,134698,0,0,163710,0,0,0,0,0,68936,1423,1114,11685796
2013-03,0,0,171340,0,0,162878,0,0,0,0,0,11380,1347,1042,12984909
2013-04,0,0,255584,0,0,176496,0,0,0,0,0,490,1324,991,13408674
2013-05,2247,1965,2695055,0,0,137682,0,0,0,2660,0,2127,1868,1480,15784518
2013-06,2187,1807,17102755,0,0,649102,0,0,0,0,0,357,2052,1505,2800508
2013-07,1919,1520,5390893,0,0,15418190,0,0,1017098,0,0,3098,0,0,31408
2013-08,2031,1678,949844,0,0,10534860,2098,1759,11628297,0,0,19416,0,0,8226
2013-09,0,0,826384,0,0,10080020,2061,1845,13868451,0,0,550962,0,0,23118
2013-10,0,0,475790,0,0,2963810,1724,1545,4817467,0,0,11856283,0,0,48200
2013-11,0,0,385368,0,0,344262,1456,1177,380078,1308,1038,10236947,0,0,104308
2013-12,0,0,298601,0,764,437721,0,0,0,1310,1003,5171671,1293,982,5946452
2014-01,0,0,291046,0,0,389683,0,0,200,0,0,108084,1053,858,11629354
2014-02,0,0,214896,0,650,388258,0,0,0,0,0,13160,1027,846,9096596
2014-03,0,0,557558,0,650,335483,0,0,0,0,0,10420,1010,832,11062042
2014-04,0,0,257099,0,554,288209,0,0,0,0,0,7000,1097,863,11024363
2014-05,1356,1117,2098056,0,554,182329,0,0,0,0,0,2520,1278,997,11378624
2014-06,1387,1098,8820103,0,554,665015,0,0,8420,0,0,17180,1254,909,2820126
2014-07,1422,1150,3427034,0,725,6315988,0,0,1569120,0,0,10400,0,0,20940
2014-08,1526,1269,454940,0,875,7357034,1543,1330,4280220,0,0,57184,0,0,10000
2014-09,0,0,448737,0,801,7782672,1571,1321,16600242,0,0,334142,0,0,3190
2014-10,0,0,536708,0,746,1962522,1508,1277,5737994,1416,1193,18187140,0,0,31470
2014-11,0,0,375590,0,850,181182,1364,1034,274292,1266,965,11324470,0,0,127086
2014-12,0,0,3704865,0,791,373953,0,0,1200,1313,1010,3226688,1313,1036,7672662
2015-01,0,0,2780403,0,0,208009,0,0,0,1357,948,199748,1282,999,10844563
2015-02,0,0,3440189,0,800,264519,0,0,0,0,0,20732,1235,993,21771253
2015-03,0,0,3739434,0,4450,229010,0,0,0,0,0,240,1271,1027,25026380
2015-04,0,0,3658880,0,6235,175714,0,0,0,0,0,0,1322,1038,23573100
2015-05,0,0,5503804,0,775,186496,0,0,0,0,0,0,1329,1055,21203050
2015-06,1817,1554,21098921,0,5587,362262,0,0,184000,0,0,0,1826,1368,5191872
2015-07,2185,1735,5500263,0,6967,18412400,0,0,2568730,0,0,240,0,0,94880
2015-08,1947,1674,2441632,0,8000,7373476,1870,1563,16217483,0,0,1000,0,0,2660
2015-09,0,0,3451468,0,0,7617762,1656,1404,24339863,0,0,217600,0,0,21310
2015-10,0,0,3155976,0,8000,1530531,1405,1185,5055878,0,0,17590949,0,0,73365
2015-11,0,0,2253644,0,8000,248478,1335,990,812130,1355,1031,9146419,0,0,367833
2015-12,0,0,3158046,0,8000,132333,0,0,91652,1344,1013,2839005,1301,1030,13849774
2016-01,0,0,2376206,0,8000,158560,0,0,6000,0,0,17756,1361,1141,17124463
2016-02,0,0,4716094,0,8000,90077,0,0,0,0,0,748,1849,1674,15334486
2016-03,0,0,2830080,0,8000,168105,0,0,4,0,0,6080,1872,1546,26485991
2016-04,0,0,2579228,0,0,162862,0,0,0,0,0,0,2059,1820,23021698
2016-05,2071,1849,7953736,0,0,229009,0,0,70960,0,0,0,2131,1827,22032588
2016-06,1889,1550,23797394,0,0,1067915,0,0,575580,0,0,0,2066,1657,3811952
2016-07,1792,1529,1522734,0,0,17402171,0,0,2145708,0,0,1140,0,0,423458
2016-08,1892,1654,145211,0,0,9171480,1965,1702,15318484,0,0,600,0,0,353644
2016-09,0,0,30244,0,0,10712446,2944,2582,20846034,0,0,238460,0,0,447542
2016-10,0,0,3388,0,0,2065484,3299,2937,4023889,0,0,12973241,0,0,246231
2016-11,0,0,2263,0,0,128010,2733,2475,941644,2451,1842,16290303,0,0,343450
2016-12,0,0,723,0,0,137915,0,0,159830,2802,2306,7873281,3184,2806,12099273
2017-01,0,0,120,0,0,169205,0,0,0,0,0,81913,2744,2284,19603223
2017-02,0,0,120,0,0,156874,0,0,40940,0,0,7800,2341,2007,17987811
2017-03,0,0,3354,0,0,189439,0,0,20780,0,0,5100,2189,1937,22709752
2017-04,0,0,242978,0,0,140118,0,0,0,0,0,0,2062,1779,22007960
2017-05,1911,1674,13372694,0,0,148760,0,0,318280,0,0,0,1947,1692,13941728
2017-06,1803,1491,17368577,0,0,978922,0,0,624725,0,0,39800,0,0,382576
2017-07,1959,1610,2706988,0,0,15134378,0,0,1905495,0,0,11780,0,0,99256
2017-08,2609,2387,235440,0,0,8962521,0,0,10969188,0,0,0,0,0,152262
2017-09,2802,2528,305682,0,0,10460629,2636,2527,16996668,0,0,253971,0,0,239158
2017-10,0,0,234335,0,0,1831533,1656,1495,3125662,1467,1168,13008139,0,0,152344
2017-11,0,0,390977,0,6933,223180,0,0,604935,1392,1066,15451554,0,0,580562
2017-12,0,0,387048,0,6500,204746,0,0,44570,1507,1219,5696416,1625,1342,10476232
2018-01,0,0,606169,0,0,202892,0,0,32720,0,0,144090,1610,1332,13884369
2018-02,0,0,659065,0,0,156068,0,0,5300,0,0,82616,2408,2163,15597428
2018-03,0,0,907098,0,0,113973,0,0,1460,0,0,2000,2696,2354,15338378
2018-04,0,0,567033,0,0,107247,0,0,6200,0,0,0,2612,2338,12751776
2018-05,2771,2558,9697917,0,0,172197,0,0,305280,0,0,0,2907,2585,7848448
2018-06,2139,1913,17487326,0,0,1134520,0,0,355840,0,0,0,0,0,260624
2018-07,2452,2014,2120564,0,8000,15772956,2977,2304,693020,0,0,0,0,0,209376
2018-08,2637,2242,909394,0,0,9768009,3330,2896,7720500,0,0,0,0,0,278880
2018-09,0,0,1128717,0,0,9025789,3576,3145,15136866,0,0,676987,0,0,271980
2018-10,0,0,1728334,0,0,1066497,2399,2149,2338790,2046,1737,19483735,0,0,118820
2018-11,0,0,1933321,0,0,336288,2129,1706,392420,1779,1462,13798419,0,0,192449
2018-12,0,0,496586,0,0,131202,0,0,151060,1453,1122,4813669,1464,1185,6509957
2019-01,0,0,987387,0,0,218425,0,0,31820,0,0,800630,1411,1170,16374086
2019-02,0,0,389238,0,0,100845,0,0,10980,0,0,428895,1353,1100,11624480
2019-03,0,0,909821,0,230,155736,0,0,25480,0,0,22450,1314,1117,14786776
2019-04,0,0,784478,0,230,136368,0,0,43980,0,0,14700,1333,1147,14812113
2019-05,1677,1442,5711198,0,0,181911,0,0,108940,0,0,49520,1613,1353,12503956
2019-06,1618,1404,11317947,0,0,440681,0,0,351100,0,0,33110,0,0,3188067
2019-07,1595,1409,2195230,0,0,15301861,1583,1423,1087400,0,0,49100,0,0,384420
2019-08,0,0,928225,0,0,9054519,1561,1386,11309702,0,0,51866,0,0,644039
2019-09,0,0,1076542,0,0,9310121,1953,1708,12372070,0,0,287840,0,0,242532
2019-10,0,0,1173730,0,0,3559963,2725,2342,3289283,0,0,14434261,0,0,218029
2019-11,0,0,1362143,0,0,119227,2690,2202,480150,2537,1964,13788059,0,0,326139
2019-12,0,0,676373,0,0,99226,0,0,192420,2856,2264,9478127,0,0,3870464
2020-01,0,0,232511,0,0,192409,0,0,76480,3117,2516,3206768,3085,2729,14759395
2020-02,0,0,1214477,0,0,168551,0,0,43520,3000,0,525719,2129,1959,13633652
2020-03,0,0,748485,0,0,155188,0,0,22956,0,0,26253,1709,1504,14229432
2020-04,0,0,1162960,0,0,116683,0,0,43360,0,0,23500,1595,1426,15341266
2020-05,1419,1212,6074585,0,0,143310,0,0,322780,0,0,262288,1498,1298,12507240
2020-06,1675,1359,12708141,0,0,568450,1600,1600,363605,0,0,104090,1746,1239,4641531
2020-07,1901,1634,3122725,0,0,18353103,0,0,887520,0,0,84760,0,0,373020
2020-08,1971,1625,1829748,0,0,10085720,2471,2231,7885840,0,0,60780,0,0,128880
2020-09,0,0,2711419,0,0,10131868,3543,3139,18026916,0,0,1007937,0,0,208930
2020-10,0,0,2565491,0,0,4065181,3052,2760,2145924,2596,1925,14702997,0,0,96518
2020-11,0,0,2470672,0,0,334887,2495,2113,344904,2051,1647,15769461,0,0,456045
2020-12,0,0,1010913,0,0,348249,0,0,263040,1811,1514,6742001,2006,1609,5160259
2021-01,0,0,0,0,0,0,0,0,0,1782,1440,0,1982,1750,0
